Datum;Titel;Id-Nr;Mitzeichnungen;Forum;Begründung;Seite;Forumauswertung
10.11.2016;Volksabstimmung -;24;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2005/_11/_03/Petition_24.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2005/_11/_03/Petition_24.nc.html;
27.06.2013;Aufenthaltsrecht - Ausländerrecht;26;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2005/_10/_26/Petition_26.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2005/_10/_26/Petition_26.nc.html;
30.07.2012;Bundesregierung - Bundesregierung;37;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2005/_11/_09/Petition_37.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2005/_11/_09/Petition_37.nc.html;
14.10.2009;Rechtsstellung der Beamten - Ges. KV für Beamte u. Selbständige, ges. RV für Beamte;92;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2006/_03/_08/Petition_92.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2006/_03/_08/Petition_92.nc.html;
13.10.2009;Betreuungsrecht - Rechtsmittel gegen richterliche Entscheidungen;132;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2006/_02/_06/Petition_132.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2006/_02/_06/Petition_132.nc.html;
20.10.2011;Arbeitslosengeld II - Erhöhung des Schonvermögens zur Alterssicherung;133;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2006/_04/_06/Petition_133.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2006/_04/_06/Petition_133.nc.html;
24.02.2012;Lärmschutz im Luftverkehr - Novellierung des Fluglärmgesetzes;160;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2006/_03/_27/Petition_160.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2006/_03/_27/Petition_160.nc.html;
30.05.2011;Arbeitnehmerüberlassung - Arbeitsbedingungen für Leiharbeiter;164;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2006/_06/_06/Petition_164.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2006/_06/_06/Petition_164.nc.html;
03.08.2011;Gleichgeschlechtliche Lebensgemeinschaften - Steuerrecht, Krankenversicherung;183;0;0 Beiträge;;https://epetitionen.bundestag.de/petitionen/_2006/_05/_30/Petition_183.nc.html;
13.03.2013;Gleichgeschlechtliche Lebensgemeinschaften - Eheschließung und Adoption von Kindern;197;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2006/_04/_30/Petition_197.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2006/_04/_30/Petition_197.nc.html;
16.10.2009;Umsatzsteuer - Baby-Windeln und Tiernahrung;210;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2006/_07/_26/Petition_210.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2006/_07/_26/Petition_210.nc.html;
11.07.2012;Versorgung der Hinterbliebenen von Beamten - Eingetragener Lebenspartner;217;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2006/_07/_31/Petition_217.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2006/_07/_31/Petition_217.nc.html;
08.02.2011;Strafen nach dem Strafgesetzbuch - Rehabilitierung homosexueller Männer;218;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2006/_07/_18/Petition_218.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2006/_07/_18/Petition_218.nc.html;
27.12.2010;Luftreinhaltung im Verkehr - Fahrzeuge älterer Baujahre;230;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2007/_01/_24/Petition_230.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2007/_01/_24/Petition_230.nc.html;
18.03.2010;Straßenverkehrsordnung - Geschwindigkeitsbegrenzung auf 130 km/h;234;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2007/_10/_25/Petition_234.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2007/_10/_25/Petition_234.nc.html;
02.06.2010;Arbeitsmarktpolitik - Recht auf Arbeit;235;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2007/_10/_15/Petition_235.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2007/_10/_15/Petition_235.nc.html;
14.10.2009;Schifffahrt - Funkzeugnisse der neuen Sprech-Funkgeräte mit DSC-Controller;238;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2007/_11/_05/Petition_238.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2007/_11/_05/Petition_238.nc.html;
01.07.2010;Erbschaftsteuer - Verwandte zweiten Grades;240;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2007/_11/_29/Petition_240.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2007/_11/_29/Petition_240.nc.html;
13.02.2012;Kündigungsschutz - Kündigung während der Probezeit;244;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2007/_12/_28/Petition_244.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2007/_12/_28/Petition_244.nc.html;
01.04.2011;Datenschutz - Verfassungswidriges Verhalten von Unternehmen;256;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2006/_04/_13/Petition_256.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2006/_04/_13/Petition_256.nc.html;
10.11.2011;Umsatzsteuer - Deutsche Post AG;300;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2006/_08/_07/Petition_300.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2006/_08/_07/Petition_300.nc.html;
25.01.2012;Gleichgeschlechtliche Lebensgemeinschaften - Soldaten und Beamte;301;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2006/_08/_11/Petition_301.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2006/_08/_11/Petition_301.nc.html;
01.01.2014;Ärzte - Gesundheitsversorgung für Migranten;325;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2006/_10/_04/Petition_325.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2006/_10/_04/Petition_325.nc.html;
14.03.2013;Arbeitslosengeld II - Auswirkungen auf die Künstler;368;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2007/_01/_03/Petition_368.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2007/_01/_03/Petition_368.nc.html;
16.10.2009;Strafprozessordnung - Elektronische Durchsuchung von Datenbeständen;372;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2006/_12/_22/Petition_372.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2006/_12/_22/Petition_372.nc.html;
16.02.2010;Gleichstellungsrecht - Anteil der weiblichen Aufsichtsräte erhöhen;383;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2007/_01/_16/Petition_383.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2007/_01/_16/Petition_383.nc.html;
18.03.2010;Straßenverkehrsordnung - Abschaffung der Radwegebenutzungspflicht;394;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2007/_03/_07/Petition_394.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2007/_03/_07/Petition_394.nc.html;
13.10.2009;Kraftfahrzeugsteuer - Umlegung auf den Mineralölpreis;396;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2007/_03/_12/Petition_396.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2007/_03/_12/Petition_396.nc.html;
11.10.2011;Eisenbahnbaurecht - Barrierefreier Zugang zum Bahnsteig;397;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2007/_03/_07/Petition_397.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2007/_03/_07/Petition_397.nc.html;
14.04.2010;Deutscher Bundestag - Beschränkung der Flugreisen zur Verminderung des CO2 Ausstoßes;398;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2007/_03/_13/Petition_398.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2007/_03/_13/Petition_398.nc.html;
25.02.2010;Sozialrecht - Bewertung der Kindererziehungsleistung für Bürgerinnen  der ehemaligen DDR;400;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2007/_03/_21/Petition_400.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2007/_03/_21/Petition_400.nc.html;
13.02.2012;Arbeitslosengeld II - Erwerbsfähige Wohnungslose;409;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2007/_03/_12/Petition_409.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2007/_03/_12/Petition_409.nc.html;
03.09.2013;Asylrecht - Homo-, bi- und transsexuelle Frauen und Männer;423;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2007/_04/_02/Petition_423.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2007/_04/_02/Petition_423.nc.html;
01.01.2014;Ein- und Ausbürgerung - Einbürgerungserleichterungen;442;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2007/_05/_07/Petition_442.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2007/_05/_07/Petition_442.nc.html;
20.01.2010;Datenschutz - Änderung des Bundesdatenschutzgesetzes;449;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2007/_06/_04/Petition_449.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2007/_06/_04/Petition_449.nc.html;
19.03.2015;Arbeitnehmerüberlassung - Zeitliche Begrenzung der Leiharbeit;452;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2007/_03/_14/Petition_452.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2007/_03/_14/Petition_452.nc.html;
15.02.2010;Hilfsmittel/Heilmittel - Pflicht zur Ausschreibung;454;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2007/_06/_22/Petition_454.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2007/_06/_22/Petition_454.nc.html;
16.04.2010;Straßenpersonenverkehr - Personenbeförderungsgesetz;461;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2007/_07/_03/Petition_461.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2007/_07/_03/Petition_461.nc.html;
13.10.2009;Grundgesetz - Wahlberechtigte bei Änderung des Artikels 79 Absatz 2 beteiligen;473;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2007/_07/_09/Petition_473.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2007/_07/_09/Petition_473.nc.html;
30.03.2011;Straßenverkehrsordnung - Klein-Laster (sog. Sprinter);475;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2007/_07/_20/Petition_475.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2007/_07/_20/Petition_475.nc.html;
13.06.2013;Bildungswesen - Einwanderer mit hohem Bildungsstand;477;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2007/_07/_18/Petition_477.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2007/_07/_18/Petition_477.nc.html;
